MEAN,STD,MAX,VAR,SKEWNESS,KURTOSIS,RMS,PEAK2PEAK,PEAK2RMS,# MAXIMA,VIBRATION CLASS
0.003329548,0.000175186,0.003329548,3.06E-08,8.623729372,139.670267,0.00539034,0.07010989,7.848798822,235,WALKING
0.003318266,0.00017609,0.003318266,3.10E-08,8.453124524,137.3883056,0.005173185,0.128131868,15.49976607,200,WALKING
0.002437192,0.000135961,0.002437192,1.85E-08,7.092504405,109.4960778,0.004028351,0.106373626,14.90352523,248,WALKING
0.00259514,0.000126979,0.00259514,1.61E-08,10.72690337,197.1063421,0.00365525,0.066080586,9.369832786,253,WALKING
0.00260696,0.000145653,0.00260696,2.12E-08,6.773901454,104.9468218,0.004557273,0.157948718,22.1921179,235,WALKING
0.002608034,0.000113009,0.002608034,1.28E-08,14.87664675,322.719763,0.003437482,0.054798535,8.791253939,203,WALKING
0.002549475,0.000125458,0.002549475,1.57E-08,10.23423438,186.5281958,0.003815665,0.066886447,12.77747736,242,WALKING
0.002582784,0.000114421,0.002582784,1.31E-08,13.91865905,294.8053773,0.003441759,0.058021978,9.716898566,227,WALKING
0.002622002,0.00015178,0.002622002,2.30E-08,6.37631763,92.08554102,0.004578111,0.141025641,21.03495637,183,WALKING
0.002619316,0.000143215,0.002619316,2.05E-08,7.380197087,116.4721668,0.0044376,0.134578755,20.7930102,219,WALKING
0.002581709,0.000146652,0.002581709,2.15E-08,6.733884043,100.2838652,0.004397543,0.088644689,13.46905987,216,WALKING
0.002631136,0.000119817,0.002631136,1.43E-08,13.00902831,266.9728724,0.003471299,0.041904762,7.31271342,238,WALKING
0.00261072,0.000118744,0.00261072,1.41E-08,12.8784989,264.5400957,0.003530741,0.058021978,10.38497891,231,WALKING
0.002628987,0.00013865,0.002628987,1.92E-08,8.296786749,138.6915414,0.004160334,0.069304029,9.394498261,243,WALKING
0.002613944,0.0001295,0.002613944,1.67E-08,9.936131268,183.2498715,0.003824273,0.080586081,13.17016254,220,WALKING
0.002603736,0.000131137,0.002603736,1.72E-08,8.990038811,160.3124208,0.004360889,0.097509158,14.50623222,228,WALKING
0.002660684,0.000131253,0.002660684,1.72E-08,10.27809924,189.0695118,0.003801238,0.064468864,9.00998198,213,WALKING
0.002576874,0.00017368,0.002576874,3.01E-08,4.17743645,44.62028985,0.006059541,0.174065934,16.69029478,233,WALKING
0.002465665,0.000151507,0.002465665,2.29E-08,5.596824532,72.05888179,0.004501296,0.087032967,11.7263748,217,WALKING
0.00235768,0.000118399,0.00235768,1.40E-08,9.52586613,168.532779,0.003687657,0.071721612,11.25425493,257,WALKING
0.002530134,0.000128974,0.002530134,1.66E-08,8.615513358,153.8509068,0.004189661,0.124102564,18.17661299,229,WALKING
0.0025484,0.000175105,0.0025484,3.06E-08,4.408154434,46.50013191,0.004908045,0.106373626,13.71001511,240,WALKING
0.002614481,0.000175827,0.002614481,3.09E-08,3.942262998,45.41103798,0.005711767,0.133772894,12.2040973,232,WALKING
0.002539267,0.000157012,0.002539267,2.46E-08,5.502926519,70.68944931,0.004586043,0.083003663,10.98251915,216,WALKING
0.002469426,0.000175437,0.002469426,3.07E-08,4.426365064,41.87506377,0.005047718,0.094285714,11.09557375,205,WALKING
0.002460293,0.000132095,0.002460293,1.74E-08,7.521108751,123.5670997,0.004228618,0.078974359,10.00508741,209,WALKING
0.00260696,0.000156289,0.00260696,2.44E-08,5.914102224,79.42194079,0.00477743,0.099120879,12.56672202,226,WALKING
0.002539267,0.000175712,0.002539267,3.08E-08,3.845640561,40.6085242,0.005654441,0.116043956,11.90026976,239,WALKING
0.002465665,0.000166323,0.002465665,2.76E-08,4.840092214,51.56293093,0.004569503,0.103956044,13.49125957,221,WALKING
0.003028156,0.00013409,0.003028156,1.80E-08,14.53189522,308.6002724,0.003735219,0.054798535,8.521991555,245,WALKING
0.003091013,0.000132381,0.003091013,1.75E-08,15.4150093,340.8285028,0.003989607,0.056410256,8.988555203,237,WALKING
0.003096923,0.000121315,0.003096923,1.47E-08,20.23599373,496.7283003,0.003723269,0.048351648,10.93017207,256,WALKING
0.003120562,0.000130893,0.003120562,1.71E-08,16.84195531,383.4773276,0.00374967,0.056410256,8.704063758,216,WALKING
0.003084029,0.00012679,0.003084029,1.61E-08,17.90950527,417.8514753,0.003639117,0.041904762,7.861263525,235,WALKING
0.00305663,0.000119556,0.00305663,1.43E-08,20.91008316,517.8246753,0.003442639,0.02981685,5.969098507,243,WALKING
0.003221563,0.000170684,0.003221563,2.91E-08,8.914261729,145.065592,0.004658119,0.091062271,10.29357968,218,WALKING
0.003230696,0.000136386,0.003230696,1.86E-08,16.29345823,367.548931,0.004009943,0.04996337,8.139108539,243,WALKING
0.003177509,0.000145524,0.003177509,2.11E-08,12.99935089,264.2662637,0.004118631,0.063663004,9.293959268,246,WALKING
0.003173211,0.000132628,0.003173211,1.76E-08,16.99621121,388.070486,0.003825631,0.046739927,7.899293807,240,WALKING
0.003222637,0.000129245,0.003222637,1.67E-08,19.37442237,465.318077,0.003711164,0.033040293,5.102907764,244,WALKING
0.003269915,0.00014199,0.003269915,2.01E-08,14.99668311,326.5542316,0.004147314,0.081391941,10.78415409,227,WALKING
0.00327475,0.000138762,0.00327475,1.92E-08,15.91265409,355.8859711,0.004208414,0.058827839,7.946753087,238,WALKING
0.003300537,0.000218725,0.003300537,4.78E-08,5.403946258,58.08621401,0.005883113,0.098315018,9.246057502,243,WALKING
0.003247888,0.000145314,0.003247888,2.11E-08,13.01902975,272.579704,0.004681744,0.11040293,12.99569012,220,WALKING
0.003286032,0.000251898,0.003286032,6.34E-08,3.584886802,29.58014454,0.007652965,0.251428571,21.21804593,220,WALKING
0.003325788,0.000218086,0.003325788,4.75E-08,4.883355106,55.46005797,0.006399509,0.145054945,12.78143003,194,WALKING
0.003297851,0.000171502,0.003297851,2.94E-08,9.256137564,154.0319952,0.004872036,0.095091575,12.48810473,236,WALKING
0.003289255,0.000152334,0.003289255,2.32E-08,12.57889898,249.4846305,0.004410314,0.071721612,8.496565897,230,WALKING
0.003318266,0.000245968,0.003318266,6.04E-08,4.268549946,36.72105891,0.006852722,0.135384615,11.81851742,226,WALKING
0.003315043,0.000132978,0.003315043,1.77E-08,18.93506933,453.8913405,0.003987004,0.06043956,9.600790476,241,WALKING
0.00332149,0.000189112,0.00332149,3.57E-08,6.967624545,102.0057092,0.005522207,0.11040293,11.60150988,250,WALKING
0.003311819,0.000138709,0.003311819,1.92E-08,16.40871358,372.9403618,0.004251577,0.089450549,14.5001155,211,WALKING
0.003330085,0.000178973,0.003330085,3.20E-08,7.51644269,120.1627869,0.006061754,0.148278388,13.22771358,239,WALKING
0.003326325,0.00020542,0.003326325,4.21E-08,5.964654443,74.24132285,0.00584097,0.097509158,9.726669439,227,WALKING
0.003365543,0.00015081,0.003365543,2.27E-08,12.98564161,270.007208,0.004899046,0.096703297,10.77431928,236,WALKING
0.003341905,0.000157951,0.003341905,2.49E-08,11.36202729,221.3105323,0.004813158,0.080586081,9.292292115,239,WALKING
0.003735165,0.000157802,0.003735165,2.49E-08,16.72975587,377.7954874,0.004402951,0.0596337,8.693803313,243,WALKING
0.003754505,0.000155939,0.003754505,2.43E-08,17.15628437,394.87409,0.004572153,0.058827839,8.019561803,250,WALKING
0.003766325,0.000146908,0.003766325,2.16E-08,20.74293517,513.3743379,0.004384537,0.074139194,13.6928099,242,WALKING
0.003853358,0.000157554,0.003853358,2.48E-08,18.35937454,432.3198986,0.004444809,0.066080586,9.881057788,226,WALKING
0.00380823,0.000153683,0.00380823,2.36E-08,19.14757159,457.8778819,0.004332621,0.041904762,6.788942783,246,WALKING
0.003787277,0.000144805,0.003787277,2.09E-08,22.52435565,573.4460993,0.004150338,0.033846154,4.951271156,221,WALKING
0.003937705,0.000205371,0.003937705,4.21E-08,9.377980812,156.6049124,0.005514052,0.102344322,10.44949225,220,WALKING
0.003924811,0.000158226,0.003924811,2.50E-08,18.9220216,450.9432231,0.004613883,0.053186813,7.073729924,232,WALKING
0.003863028,0.000172651,0.003863028,2.98E-08,14.07544527,294.9240743,0.004854599,0.067692308,8.548972192,236,WALKING
0.003875385,0.000153999,0.003875385,2.37E-08,19.87658201,482.7398704,0.004444225,0.041904762,6.074475941,232,WALKING
0.003913529,0.000154586,0.003913529,2.39E-08,20.44542297,501.5089322,0.004375251,0.034652015,4.88093353,232,WALKING
0.003944151,0.000163649,0.003944151,2.67E-08,17.29339893,398.339201,0.004765007,0.089450549,11.58476178,234,WALKING
0.003984982,0.000162856,0.003984982,2.65E-08,17.98586302,420.3258429,0.004845768,0.058021978,8.231948232,231,WALKING
0.003980684,0.00024665,0.003980684,6.08E-08,6.26784524,76.00790754,0.006751077,0.10959707,10.08657445,240,WALKING
0.003959194,0.00015871,0.003959194,2.52E-08,18.73688918,447.2602875,0.004920547,0.095091575,14.33028065,235,WALKING
0.003954359,0.000302903,0.003954359,9.16E-08,4.00073351,32.03927242,0.008670291,0.254652015,18.17076196,208,WALKING
0.004039243,0.000253954,0.004039243,6.44E-08,5.546155182,66.41467631,0.007509954,0.182124542,15.72028357,223,WALKING
0.004023126,0.000203912,0.004023126,4.15E-08,10.15817764,175.3688549,0.005597533,0.097509158,10.43761663,234,WALKING
0.004007546,0.000179736,0.004007546,3.23E-08,13.94289964,288.89572,0.005120224,0.083809524,9.049798303,241,WALKING
0.004032796,0.000287973,0.004032796,8.28E-08,4.87564756,44.29674403,0.007650872,0.141025641,9.637628141,235,WALKING
0.004046227,0.000155977,0.004046227,2.43E-08,21.74022849,546.8817715,0.00456325,0.045128205,6.622425278,248,WALKING
0.004023663,0.000225336,0.004023663,5.07E-08,7.601995753,113.0776136,0.006300098,0.135384615,12.98311176,231,WALKING
0.004003248,0.000162138,0.004003248,2.63E-08,18.24872182,431.9523694,0.004934771,0.092673993,12.00273964,204,WALKING
0.004033871,0.000216581,0.004033871,4.68E-08,8.137683176,126.5755568,0.00686603,0.126520147,9.565593397,224,WALKING
0.004060733,0.000251504,0.004060733,6.32E-08,6.225421574,75.77500639,0.006935373,0.135384615,10.86430142,230,WALKING
0.004066642,0.00017305,0.004066642,2.99E-08,15.80255429,348.840188,0.00528824,0.074945055,7.695561065,241,WALKING
0.004033333,0.000195823,0.004033333,3.83E-08,10.52851289,195.8481219,0.006051182,0.147472527,14.31621794,223,WALKING
0.001957973,0.000113648,0.001957973,1.29E-08,6.463060519,94.0768256,0.003239326,0.075750916,13.55819503,237,WALKING
0.001975165,0.000112471,0.001975165,1.26E-08,6.637260868,98.28069537,0.003436223,0.058827839,10.20159056,242,WALKING
0.002010085,8.98E-05,0.002010085,8.05E-09,13.22909944,274.9987673,0.002884219,0.054798535,9.918822364,252,WALKING
0.002105714,0.00011431,0.002105714,1.30E-08,7.619138217,122.6898464,0.003403584,0.081391941,14.08771459,203,WALKING
0.002055751,0.000105701,0.002055751,1.12E-08,9.025660153,156.8113633,0.003101496,0.051575092,10.00344526,239,WALKING
0.001918217,8.63E-05,0.001918217,7.44E-09,13.3132419,277.0789712,0.002575146,0.032234432,7.04110375,226,WALKING
